gene_symbol	pmid	pubmed_found	herb_reference_title	pubmed_title	title_match	relationship	relationship_direction	therapeutic_alignment	target_term_found_in_pubmed_title_or_abstract	matched_target_patterns	disease_context_terms_in_pubmed_record
IL15	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes		down	not_in_bulk_module	yes	\bIL-?15\b	curcumin;colitis;dss;memory_cell
IL22	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes		down	not_in_bulk_module	no		curcumin;colitis;dss;memory_cell
IL7	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes		down	not_in_bulk_module	yes	\bIL-?7A?\b	curcumin;colitis;dss;memory_cell
JAK1	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bJAK1\b	curcumin;colitis;dss;memory_cell
PIAS1	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bPIAS1\b	curcumin;colitis;dss;memory_cell
STAT5A	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bSTAT5A?\b;\bp-?STAT5\b	curcumin;colitis;dss;memory_cell
CCL2	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	aligned_suppresses_disease_up_target	yes	\bCCL-?2\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
IFNG	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bIFN-?γ\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
IL10	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bIL-?10\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
IL13	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bIL-?13\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
