resource_id	source	public_url_or_accession	expected_local_path	acquisition_mode	required_for	role	notes
GSE75214_series_matrix	NCBI GEO FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75214/matrix/GSE75214_series_matrix.txt.gz	data/raw/geo/GSE75214/GSE75214_series_matrix.txt.gz	automatic_or_manual	source_rebuild	Bulk UC mucosal expression matrix	Stable FTP file.
GSE59071_series_matrix	NCBI GEO FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59071/matrix/GSE59071_series_matrix.txt.gz	data/raw/geo/GSE59071/GSE59071_series_matrix.txt.gz	automatic_or_manual	source_rebuild	Same-platform bulk expression matrix	Used as same-platform context.
GSE87466_series_matrix	NCBI GEO FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87466/matrix/GSE87466_series_matrix.txt.gz	data/raw/geo/GSE87466/GSE87466_series_matrix.txt.gz	automatic_or_manual	source_rebuild	Independent UC mucosal expression matrix	Stable FTP file.
GPL6244_annotation	NCBI GEO FTP	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6244/annot/GPL6244.annot.gz	data/raw/geo/platforms/GPL6244.annot.gz	automatic_or_manual	source_rebuild	Probe-to-gene annotation for GPL6244	Required for gene-level summaries.
GPL13158_annotation	NCBI GEO FTP	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL13nnn/GPL13158/annot/GPL13158.annot.gz	data/raw/geo/platforms/GPL13158.annot.gz	automatic_or_manual	source_rebuild	Probe-to-gene annotation for GPL13158	Required for gene-level summaries.
GSE125527_RAW	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	data/raw/geo/GSE125527/GSE125527_RAW.tar	manual_or_GEO_download	source_rebuild	Rectal single-cell expression source archive	Extract or retain archive according to local workflow.
GSE125527_cell_metadata	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	data/raw/geo/GSE125527/GSE125527_cell_metadata.csv.gz	manual_or_GEO_download	source_rebuild	Patient/tissue/disease/cell-type metadata	Required for patient-level pseudobulk grouping.
GSE125527_gene_ids	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	data/raw/geo/GSE125527/GSE125527_gene_id_rownames.csv.gz	manual_or_GEO_download	source_rebuild	Single-cell gene identifiers	Required for module scoring.
GSE125527_cell_ids	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	data/raw/geo/GSE125527/GSE125527_cell_id_colnames.csv.gz	manual_or_GEO_download	source_rebuild	Single-cell barcode identifiers	Required for module scoring.
GSE125527_Bcell_cluster	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	data/raw/geo/GSE125527/GSE125527_Bcell_cluster.csv.gz	manual_or_GEO_download	source_rebuild	B-lineage subcluster labels	Used for cell-state context.
GSE125527_Tcell_cluster	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	data/raw/geo/GSE125527/GSE125527_Tcell_cluster.csv.gz	manual_or_GEO_download	source_rebuild	T-cell subcluster labels	Used for annotation context.
GSE182270_RAW	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182270	data/raw/geo/GSE182270/GSE182270_RAW.tar	manual_or_GEO_download	optional_source_rebuild	Exploratory external B-lineage comparison	Underpowered directional context.
HERB2_full_v2_tables	HERB 2.0	http://herb.ac.cn/	data/raw/herb2/	manual_or_direct_download	source_rebuild	Chinese medicine compound, target, disease, and evidence tables	Expected filenames are listed in DATA_ACQUISITION.md.
HERB2_ingredient_details	HERB 2.0	http://herb.ac.cn/	data/raw/herb2/ingredient_details/	manual_or_interactive_export	optional_source_rebuild	Compound-to-herb source-chain verification	Only prioritized records are needed.
ETCM2_ingredient_search	ETCM2	https://www.tcmip.cn/ETCM2/front/	data/raw/etcm2/ingredient_search/	manual_or_interactive_export	optional_source_rebuild	Cross-resource compound search context	Store one JSON per search term.
ETCM2_ingredient_details	ETCM2	https://www.tcmip.cn/ETCM2/front/	data/raw/etcm2/ingredient_details/	manual_or_interactive_export	optional_source_rebuild	Cross-resource target-name context	Target names require gene-symbol mapping.
OpenTargets_UC	Open Targets	https://platform.opentargets.org/	data/raw/open_targets/open_targets_ulcerative_colitis_MONDO_0005101.json	API_or_manual_export	optional_source_rebuild	Target-disease plausibility context	Use the disease MONDO identifier in the filename.
