dataset_id_or_name	modality	sample_size	population_or_ancestry	age_stratum_or_age_range	tissue_or_site	endpoint_availability	access_link	intended_role	priority	suitability_notes	risks_or_caveats
GSE75214	Bulk transcriptomics microarray	194	Homo sapiens; IBD and controls	Adult/mixed not yet verified	Endoscopic intestinal mucosal biopsies	IBD status; mucosal site; inflammation status likely available	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75214	Primary discovery or replication of UC/IBD mucosal disease module	High	Large mucosal biopsy dataset; directly disease relevant; GEO summary confirms IBD mucosal biopsies	Metadata must be parsed before assigning discovery/replication role
GSE11223	Bulk transcriptomics microarray	202	Homo sapiens; UC and healthy controls	Mixed/region-stratified not yet verified	Colon epithelial biopsies; multiple GI regions	UC inflamed/uninflamed and healthy control; regional variation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11223	Primary UC-focused replication or regional sensitivity dataset	High	Strong UC-specific colon epithelial biopsy dataset; useful for barrier/epithelial module	Older microarray platform; regional sampling must be modeled
GSE59071	Bulk transcriptomics microarray	116	Homo sapiens; IBD and controls	Adult/mixed not yet verified	Endoscopic mucosal biopsies	IBD status; active/inactive UC and mucosal site likely available	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071	Independent replication and inflammation/activity sensitivity	High	Direct IBD mucosal dataset; same platform family as GSE75214 can support harmonized validation	Potential overlap/relatedness with GSE75214 must be checked
GSE87466	Bulk transcriptomics microarray	108	Homo sapiens; adult moderate-to-severe UC and normal subjects	Adult	Colonic mucosal biopsies	Active UC vs normal subject status	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87466	UC disease activity module and independent validation	High	Adult active UC mucosal biopsies; clinically relevant severity context	Microarray; treatment metadata may be limited
GSE92415	Bulk transcriptomics microarray	183	Homo sapiens; moderate-to-severe UC in PURSUIT-SC induction study	Adult	Colon biopsies	Golimumab induction response and molecular response context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92415	Treatment-response comparator and known anti-TNF molecular reversal benchmark	High	Provides anti-TNF treatment-response context; useful for comparator drug-signature logic	Trial-specific design and timepoints must be decoded carefully
GSE16879	Bulk transcriptomics microarray	133	Homo sapiens; IBD before/after infliximab	Adult/mixed not yet verified	Mucosal biopsies	Infliximab response; before/after first treatment	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16879	Treatment-response validation and comparator biologic signature	High	Direct pre/post infliximab mucosal dataset; valuable for known effective perturbation comparator	Includes CD/UC and ileal/colonic sites; heterogeneity must be modeled
GSE73661	Bulk transcriptomics microarray	178	Homo sapiens; UC under vedolizumab and infliximab context	Adult/mixed not yet verified	Colonic mucosal biopsies	Vedolizumab and infliximab therapy effects	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73661	Treatment-response comparator; biologic-response signature	High	Useful for comparing TCM candidate reversal with established drug-response direction	Requires careful timepoint and responder metadata extraction
GSE126124	Bulk transcriptomics microarray	176	Homo sapiens; pediatric IBD and controls	Pediatric	Peripheral whole blood and colonic tissue	IBD diagnosis; blood-tissue concordance	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126124	Contextual pediatric and cross-tissue sensitivity dataset	Medium	Large pediatric IBD dataset; can test generalizability and tissue specificity	Pediatric population and blood/tissue mixture should not be main validation for adult mucosal story
GSE134809	Single-cell RNA-seq	31	Homo sapiens; ileal Crohn disease lesions and related samples	Adult/mixed not yet verified	Ileal Crohn lesions; PBMC also present	Anti-TNF resistance-associated pathogenic cellular module	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134809	Cell-state localization and treatment-resistance biology	High	High-value scRNA dataset; directly links pathogenic cellular module to anti-TNF resistance	Crohn ileal focus; may not fully represent UC colonic biology
GSE125527	Single-cell RNA-seq; scTCR-seq; scBCR-seq	103	Homo sapiens; UC and controls	Mixed not yet verified	Ileum and/or colon immune/epithelial compartments	UC cellular and molecular landscape	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	Core UC scRNA cell-state localization	High	Direct UC single-cell landscape dataset; strong for C2 claim and cell-state mapping	Cell annotations and tissue compartments must be checked before final use
