gene_symbol	evidence_tier	bulk_module_role	therapeutic_alignments	relationship_directions	relationships	pubmed_ids	reference_titles	b_mean_log1p_cpm_diseased	b_mean_log1p_cpm_healthy	b_delta_log1p_cpm_diseased_minus_healthy	b_p_log1p_cpm_mannwhitney	b_mean_detection_diseased	b_mean_detection_healthy	b_expression_status	mdc_mean_log1p_cpm_diseased	mdc_mean_log1p_cpm_healthy	mdc_delta_log1p_cpm_diseased_minus_healthy	mdc_p_log1p_cpm_mannwhitney	mdc_mean_detection_diseased	mdc_mean_detection_healthy	mdc_expression_status	first_supporting_sentence
IL1B	A_module_aligned_b_cell_increased	bulk_up_top150	aligned_suppresses_disease_up_target	down	downregulate/decrease;suppress/inhibitor	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	0.00501116	0.00387792	0.00113324	1	0.00151554	0.000969927	detected_in_diseased_B	2.78165	2.26513	0.516526	0.116667	0.849119	0.778636	detected_in_diseased_MDC	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
CCL2	B_module_aligned	bulk_up_top150	aligned_suppresses_disease_up_target	down	suppress/inhibitor	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway							no_rectal_B_contrast							no_rectal_MDC_contrast	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IL33	B_module_aligned	bulk_up_top150	aligned_suppresses_disease_up_target	down	suppress/inhibitor	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway							no_rectal_B_contrast							no_rectal_MDC_contrast	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
BLNK	C_b_cell_mechanism_increased	not_bulk_top150	not_in_bulk_module	up	upregulate/increase	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	0.666277	0.384686	0.281591	0.0424242	0.279323	0.273925	detected_in_diseased_B	0.111237	0.0647186	0.0465185	0.731657	0.0549882	0.0328185	detected_in_diseased_MDC	In addition, Cur significantly inhibited the protein levels of Syk, p-Syk, Bcl-6, and CIN85, and increased BLNK and p-BLNK expression in colitis mice.
SYK	C_b_cell_mechanism_increased	not_bulk_top150	not_in_bulk_module	down	suppress/inhibitor	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	0.497577	0.284077	0.2135	0.0424242	0.180924	0.183928	detected_in_diseased_B	0.692493	0.849474	-0.156981	0.666667	0.371641	0.490133	detected_in_diseased_MDC	In addition, Cur significantly inhibited the protein levels of Syk, p-Syk, Bcl-6, and CIN85, and increased BLNK and p-BLNK expression in colitis mice.
SH3KBP1	C_b_cell_mechanism_increased	not_bulk_top150	not_in_bulk_module	down	suppress/inhibitor	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	0.352523	0.267471	0.0850511	0.315152	0.12187	0.150898	detected_in_diseased_B	0.600506	0.493247	0.107259	1	0.31168	0.250965	detected_in_diseased_MDC	In addition, Cur significantly inhibited the protein levels of Syk, p-Syk, Bcl-6, and CIN85, and increased BLNK and p-BLNK expression in colitis mice.
BCL6	C_b_cell_mechanism_increased	not_bulk_top150	not_in_bulk_module	down	suppress/inhibitor	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	0.0826257	0.0105031	0.0721226	0.0179007	0.0281139	0.00502844	detected_in_diseased_B	0.17313	0.485256	-0.312126	0.109531	0.104949	0.188975	detected_in_diseased_MDC	In addition, Cur significantly inhibited the protein levels of Syk, p-Syk, Bcl-6, and CIN85, and increased BLNK and p-BLNK expression in colitis mice.
TNF	D_b_cell_increased	not_bulk_top150	not_in_bulk_module	down	downregulate/decrease;suppress/inhibitor	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	0.485728	0.23808	0.247649	0.109091	0.123174	0.0861129	detected_in_diseased_B	0.669122	0.584729	0.0843929	0.666667	0.191506	0.260403	detected_in_diseased_MDC	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
JAK1	D_b_cell_increased	not_bulk_top150	not_in_bulk_module	down	suppress/inhibitor	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	0.868312	0.625597	0.242715	0.163636	0.347448	0.387309	detected_in_diseased_B	0.921707	0.850076	0.0716316	0.833333	0.482921	0.59009	detected_in_diseased_MDC	In addition, curcumin significantly inhibited the activation of the JAK1/STAT5 signaling pathway, downregulation of JAK1, STAT5, and p-STAT5 proteins in colon tissue, and upregulation of PIAS1 proteins.
PIAS1	D_b_cell_increased	not_bulk_top150	not_in_bulk_module	up	upregulate/increase	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	0.455804	0.373363	0.0824401	0.230303	0.176425	0.268946	detected_in_diseased_B	0.352814	0.719119	-0.366305	0.0166667	0.207571	0.284213	detected_in_diseased_MDC	In addition, curcumin significantly inhibited the activation of the JAK1/STAT5 signaling pathway, downregulation of JAK1, STAT5, and p-STAT5 proteins in colon tissue, and upregulation of PIAS1 proteins.
